cluster_id,ticker,mix_type,first_event,last_event,n_events,n_hypotheses,n_branches,n_down,n_up,n_lateral,sum_score_delta,grade_weighted_delta,any_necessity_down,aligned,fut_transitions_28d,fut_downgrades_28d,fut_upgrades_28d,excess_h1,excess_h2,excess_h3,excess_h4,excess_h5,excess_h6,excess_h7,excess_h8,next_state_change_days
005930.KS@2026-W29,005930.KS,down_only,2026-07-18,2026-07-18,1,1,1,1,0,0,-1.0,-0.9,False,True,2,1,1,,-0.007266,0.03535,,,,,,14
005930.KS@2026-W31,005930.KS,mixed,2026-08-01,2026-08-02,2,1,1,1,1,0,0.0,0.0,False,True,0,0,0,,,,,,,,,
9992@2026-W29,9992,down_only,2026-07-18,2026-07-18,1,1,1,1,0,0,-2.0,-1.8,False,True,0,0,0,,-0.002201,-0.000174,,,,,,
AAOI@2026-W22,AAOI,down_only,2026-05-30,2026-05-30,1,1,1,1,0,0,-1.0,-1.6,False,True,0,0,0,0.165461,0.121487,0.053539,-0.057497,-0.168687,-0.199,-0.245895,-0.23909,
AAPL@2026-W22,AAPL,down_only,2026-05-30,2026-05-30,1,1,1,1,0,0,-4.0,-1.6,False,True,1,1,0,0.032982,-0.01275,-0.0132,-0.004696,0.056797,0.054424,0.177092,0.183897,12
AAPL@2026-W24,AAPL,down_only,2026-06-11,2026-06-11,1,1,1,1,0,0,-4.0,-3.6,False,True,0,0,0,0.005571,0.00268,0.069447,0.085443,0.182149,0.206654,0.245471,0.207492,51
AAPL@2026-W31,AAPL,mixed,2026-08-01,2026-08-02,3,2,2,1,2,0,-1.0,0.35,False,True,0,0,0,,,,,,,,,
ACN@2026-W23,ACN,up_only,2026-06-06,2026-06-06,1,1,1,0,1,0,1.0,0.4,False,True,3,1,2,-0.034383,-0.293362,-0.238315,-0.215796,-0.233047,-0.147811,-0.141391,-0.142315,14
ACN@2026-W25,ACN,up_only,2026-06-20,2026-06-20,1,1,1,0,1,0,1.0,0.9,False,True,4,3,1,0.053076,0.098729,0.056649,0.179583,0.197544,0.194058,0.386143,,14
ACN@2026-W27,ACN,mixed,2026-07-04,2026-07-04,2,2,2,1,1,0,0.0,-0.7,False,True,2,2,0,-0.017831,0.076911,0.075795,0.0634,0.256654,,,,7
ACN@2026-W28,ACN,down_only,2026-07-11,2026-07-11,1,1,1,1,0,0,-2.0,-5.0,False,True,1,1,0,0.112956,0.127692,0.103365,0.296599,,,,,7
ACN@2026-W29,ACN,down_only,2026-07-18,2026-07-18,1,1,1,1,0,0,-3.0,-7.5,False,True,0,0,0,,-0.019339,0.161611,,,,,,
ADBE@2026-W29,ADBE,down_only,2026-07-18,2026-07-18,1,1,1,1,0,0,-1.0,-0.15,False,True,0,0,0,,-0.036867,0.061407,,,,,,
ALAB@2026-W29,ALAB,down_only,2026-07-18,2026-07-18,1,1,1,1,0,0,-2.0,-3.2,False,True,1,1,0,,0.091208,0.031002,0.224688,0.0,,,,20
ALAB@2026-W32,ALAB,down_only,2026-08-07,2026-08-07,1,1,1,1,0,0,-2.0,-5.0,True,True,0,0,0,,,,,,,,,
AMD@2026-W29,AMD,up_only,2026-07-18,2026-07-18,1,1,1,0,1,0,1.0,2.5,False,True,1,0,1,,0.067131,-0.077046,-0.00606,-0.045795,0.0,,,7
